responseId;startTime;endTime;gender;age;testType;flowPre;anxietyPre;activityPoints;anxietyPost;flowPost;anxietyRawPre;anxietyRawPost;flowRawPre;flowRawPost
5e7bf550-cd4d-11eb-8807-07b5e671b2fd;0;1623701773873;;;;0;0;0;19;31;;4,3,3,3,3,3;;5,4,4,4,3,3,3,3,2
ab08cad0-cd50-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
acc5e420-cd50-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
c12d95c0-cd50-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
c378e550-cd50-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
076840d0-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
1a5a1b50-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
248b8320-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
48014560-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
86db34d0-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
95f8d5d0-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
a90982f0-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
bd29a440-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
cb1e0780-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
f5e85060-cd51-11eb-8807-07b5e671b2fd;0;0;;;;0;0;0;0;0;;;;
